	input	filtered	denoisedF	nonchim
ERR11549398	8048	7664	7503	7455
ERR11549399	8137	7850	7725	7636
ERR11549400	11295	10741	10540	10135
ERR11549401	9099	8492	8335	8204
ERR11549402	12326	11554	11351	11253
ERR11549403	9197	8763	8671	8668
ERR11549404	13700	12981	12921	12921
ERR11549405	21623	20410	20227	20210
ERR11549406	5836	5411	5287	5285
ERR11549407	7841	7580	7546	7546
ERR11549408	35359	33573	33493	33259
ERR11549409	22512	21367	21214	20918
ERR11549410	13084	12349	12272	12076
ERR11549411	21541	19917	19792	19792
ERR11549412	16973	16330	16240	16240
ERR11549413	26061	24492	24430	24430
ERR11549414	20421	19513	19441	19436
ERR11549415	4729	4437	4371	4371
ERR11549416	22490	21117	20997	20671
ERR11549417	21917	20718	20573	20262
ERR11549418	21374	20255	20185	20185
ERR11549419	21449	20206	20138	20138
ERR11549420	12647	12056	11962	11820
ERR11549421	20794	19639	19570	19570
ERR11549422	21714	20513	20440	20438
ERR11549423	20146	19415	19281	19196
ERR11549424	16979	15911	15829	15829
ERR11549425	30376	28630	28513	28444
ERR11549426	40756	38892	38717	38499
ERR11549427	25565	24382	24287	23867
ERR11549428	20894	19830	19726	19537
ERR11549429	21202	19716	19518	19393
ERR11549430	25813	24211	24120	23322
ERR11549431	27039	25639	25575	25573
ERR11549432	18897	17726	17614	17569
ERR11549433	32489	30639	30531	30508
ERR11549434	11148	10531	10470	10470
ERR11549435	24782	23008	22928	22850
ERR11549436	24256	23107	23040	22901
ERR11549437	18832	18112	17929	17929
ERR11549438	12935	12319	12206	12083
ERR11549439	20177	18565	18467	18467
ERR11549440	34099	31781	31452	31184
ERR11549441	18656	17719	17616	17569
ERR11549442	43517	41326	41205	41156
ERR11549443	39470	36897	36717	36677
ERR11549444	19775	18739	18545	18525
ERR11549445	36995	35066	34975	34920
ERR11549446	9231	8609	8446	8426
