	reads.in	reads.out
SRR7581293_1.fastq.gz	240872	21595
SRR7581294_1.fastq.gz	292849	33936
SRR7581295_1.fastq.gz	123149	11577
SRR7581297_1.fastq.gz	307880	15772
SRR7581298_1.fastq.gz	307317	36104
SRR7581299_1.fastq.gz	272643	17811
SRR7581300_1.fastq.gz	316489	26071
SRR7581301_1.fastq.gz	359773	24908
SRR7581302_1.fastq.gz	268019	38110
SRR7581303_1.fastq.gz	327482	29314
SRR7581304_1.fastq.gz	331830	32165
SRR7581305_1.fastq.gz	152711	6631
SRR7581306_1.fastq.gz	171752	10276
SRR7581307_1.fastq.gz	319515	22257
SRR7581308_1.fastq.gz	289150	23133
SRR7581309_1.fastq.gz	235520	22125
SRR7581310_1.fastq.gz	76016	9640
SRR7581311_1.fastq.gz	71133	4668
SRR7581312_1.fastq.gz	270069	13411
SRR7581313_1.fastq.gz	354636	44673
SRR7581314_1.fastq.gz	339676	32802
SRR7581317_1.fastq.gz	154177	26351
SRR7581318_1.fastq.gz	102638	14688
SRR7581319_1.fastq.gz	77665	13963
SRR7581320_1.fastq.gz	119808	17320
SRR7581321_1.fastq.gz	111187	15988
SRR7581322_1.fastq.gz	79269	14696
SRR7581327_1.fastq.gz	319187	47996
SRR7581328_1.fastq.gz	360556	38151
SRR7581329_1.fastq.gz	352539	44480
SRR7581330_1.fastq.gz	286315	22219
SRR7581331_1.fastq.gz	284818	35632
SRR7581332_1.fastq.gz	231594	25996
SRR7581333_1.fastq.gz	226203	15896
SRR7581334_1.fastq.gz	403440	31536
SRR7581335_1.fastq.gz	318026	26780
SRR7581336_1.fastq.gz	348704	13186
SRR7581337_1.fastq.gz	380171	26209
SRR7581338_1.fastq.gz	91373	13646
SRR7581339_1.fastq.gz	298407	30886
SRR7581340_1.fastq.gz	107787	14355
SRR7581341_1.fastq.gz	79505	8409
SRR7581342_1.fastq.gz	112446	19343
SRR7581343_1.fastq.gz	96813	16061
SRR7581344_1.fastq.gz	105257	8613
SRR7581345_1.fastq.gz	96512	14535
SRR7581346_1.fastq.gz	89071	12291
SRR7581347_1.fastq.gz	98303	13845
SRR7581348_1.fastq.gz	215374	26830
SRR7581349_1.fastq.gz	297815	21811
SRR7581350_1.fastq.gz	232171	14820
SRR7581351_1.fastq.gz	84834	11362
SRR7581352_1.fastq.gz	192751	20502
SRR7581353_1.fastq.gz	334615	46240
SRR7581354_1.fastq.gz	247386	28397
SRR7581355_1.fastq.gz	207765	19032
